"question","keywords","answer","category"
"What items do you have?","items,products,collection,shop","We have rings, necklaces, earrings, bracelets, bangles, pendants, and bridal sets.","CUSTOM"
"Do you have gold rings?","gold rings,rings,ring collection","Yes, we have gold rings in simple, daily wear, and bridal styles.","CUSTOM"
"Do you have necklace collections?","necklace,necklace collection,chains,neck pieces","Yes, we have gold necklaces, chains, and pendant sets in different designs.","CUSTOM"
"Do you have earrings?","earrings,studs,hoops,jhumkas","Yes, we have studs, hoops, drops, and traditional earrings.","CUSTOM"
"Do you have bracelets or bangles?","bracelets,bangles,hand jewelry","Yes, we have bracelets, bangles, and kada styles for regular wear and occasions.","CUSTOM"
"Do you have pendant sets?","pendant,pendant set,chain set","Yes, we have pendant sets with matching chains in different styles.","CUSTOM"
"Do you have bridal jewelry?","bridal,wedding,bridal set,wedding set","Yes, we have bridal jewelry sets with necklace, earrings, bangles, and more.","CUSTOM"
"Can I customize a design?","customize,custom design,personalized,make to order","Yes, we can make customized designs based on your idea or reference.","CUSTOM"
"What gold purity do you sell?","gold purity,22k,18k,24k","We offer different gold purities based on the item and design.","CUSTOM"
"Do you have diamond jewelry?","diamond,diamond jewelry,stone jewelry","Yes, we have diamond jewelry in rings, earrings, pendants, and sets.","CUSTOM"
"Do you have daily wear jewelry?","daily wear,lightweight,everyday jewelry","Yes, we have lightweight daily wear pieces that are easy to wear every day.","CUSTOM"
"Do you have gift items?","gift,gift items,presents,occasion","Yes, we have jewelry gift options for birthdays, weddings, and special occasions.","CUSTOM"
"Can I see new collections?","new collection,new designs,latest collection","Yes, we regularly update our new collections and designs.","CUSTOM"
"Do you repair jewelry?","repair,fix,adjust,maintenance","Yes, we offer basic repair, resizing, cleaning, and polishing services.","CUSTOM"
"Do you resize rings?","resize,ring size,adjust ring","Yes, we can resize many ring designs depending on the model.","CUSTOM"
"Do you clean jewelry?","cleaning,polish,shine,service","Yes, we provide cleaning and polishing services for jewelry.","CUSTOM"
"Do you have store pickup?","pickup,store pickup,collect from store","Yes, you can collect orders from the store if pickup is available.","CUSTOM"
"Do you deliver jewelry?","delivery,shipping,send,home delivery","Yes, we offer delivery for selected items and locations.","CUSTOM"
"How can I place an order?","order,buy,place order,how to buy","You can place an order by visiting the store or contacting our team.","CUSTOM"
"What is your contact number?","contact,phone,call,number","Please contact our team through the store number or WhatsApp for help.","CUSTOM"
